,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
1604,Fauna,Peixes Continentais,Rivulidae,Kryptolebias brasiliensis,Criticamente em Perigo (CR),CR,Mata Atlântica,Assentamento Humano: cidades,Não,Não,1,Sim,RJ
1605,Fauna,Peixes Continentais,Rivulidae,Kryptolebias campelloi,Criticamente em Perigo (CR),CR,Amazônia,Agropecuária,Não,Não,1,Sim,PA
1606,Fauna,Peixes Continentais,Rivulidae,Kryptolebias gracilis,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária,Não,Não,1,Sim,RJ
1607,Fauna,Invertebrados Terrestres,Formicidae,Lachnomyrmex nordestinus,Vulnerável (VU),VU,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Extração Florestal",Sim,Não,3,Sim,"CE,PB,PE,SE"
1608,Flora,Angiospermas,Lythraceae,Lafoensia nummularifolia,Vulnerável (VU),VU,Cerrado,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Informação não disponível,"PR,SP"
1609,Flora,Angiospermas,Cyperaceae,Lagenocarpus bracteosus,Em Perigo (EN),EN,Cerrado,"Queimadas,Turismo/Recreação, Perda de Habitat/Degradação (Induzida por Humanos),Mineração,Agropecuária",Sim,Sim,3,Sim,MG
1610,Fauna,Mamíferos,Atelidae,Lagothrix cana cana,Em Perigo (EN),EN,Amazônia,"Agropecuária,Assentamento Humano: cidades,Assentamento Humano: rurais,Caça/Pesca,Outras Atividades Econômicas: energia,Transporte Diversos",Sim,Sim,4,Não,"AC,AM,MT,PA,RO"
1611,Fauna,Mamíferos,Atelidae,Lagothrix lagothricha,Vulnerável (VU),VU,Amazônia,Caça/Pesca,Sim,Sim,4,Não,AM
1612,Fauna,Mamíferos,Atelidae,Lagothrix poeppigii,Vulnerável (VU),VU,Amazônia,"Caça/Pesca,Transporte Diversos",Sim,Sim,4,Não,"AC,AM"
1613,Fauna,Peixes Continentais,Loricariidae,Lamontichthys avacanoeiro,Em Perigo (EN),EN,Cerrado,Outras Atividades Econômicas: energia,Não,Sim,1,Sim,"BA,GO,MG,TO"
