,Fauna/Flora,Grupo,Família,Espécie (Simplificado),Categoria de Ameaça,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
965,Fauna,Invertebrados Aquáticos,Hyriidae,Diplodon (Rhipidodonta) koseritzi,Em Perigo (EN),EN,"Mata Atlântica,Pampa","Espécies Exóticas,Barragens,Abastecimento/Drenagem,Poluição",Sim,Não,2,Sim,RS
966,Flora,Angiospermas,Malpighiaceae,Diplopterys sepium,Em Perigo (EN),EN,Caatinga,Agropecuária,Sim,Não,2,Sim,"BA,PI"
967,Flora,Angiospermas,Lythraceae,Diplusodon aggregatifolius,Em Perigo (EN),EN,Cerrado,"Agropecuária,Queimadas, Perda de Habitat/Degradação (Induzida por Humanos),Mineração",Sim,Sim,2,Sim,MG
968,Flora,Angiospermas,Lythraceae,Diplusodon argyrophyllus,Criticamente em Perigo (CR),CR,"Caatinga,Cerrado",Queimadas,Sim,Não,2,Sim,BA
969,Flora,Angiospermas,Lythraceae,Diplusodon ericoides,Criticamente em Perigo (CR),CR,Cerrado,Agropecuária,Sim,Sim,2,Sim,GO
970,Flora,Angiospermas,Lythraceae,Diplusodon glaziovii,Criticamente em Perigo (CR),CR,Cerrado,"Assentamento Humano: cidades,Espécies Invasoras,Queimadas, Perda de Habitat/Degradação (Induzida por Humanos)",Não,Sim,2,Informação não disponível,MG
971,Flora,Angiospermas,Lythraceae,Diplusodon gracilis,Criticamente em Perigo (CR),CR,Cerrado,Agropecuária,Não,Não,1,Informação não disponível,TO
972,Flora,Angiospermas,Lythraceae,Diplusodon hatschbachii,Vulnerável (VU),VU,Cerrado,Agropecuária,Sim,Sim,2,Informação não disponível,GO
973,Flora,Angiospermas,Lythraceae,Diplusodon minasensis,Em Perigo (EN),EN,Cerrado,"Perda de Habitat/Degradação (Induzida por Humanos),Espécies Invasoras,Queimadas,Assentamento Humano: cidades",Sim,Sim,2,Sim,MG
974,Flora,Angiospermas,Lythraceae,Diplusodon orbicularis,Vulnerável (VU),VU,Cerrado,Queimadas,Sim,Sim,3,Sim,MG
975,Flora,Angiospermas,Lythraceae,Diplusodon ovatus,Em Perigo (EN),EN,Cerrado,"Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Informação não disponível,"GO,MG,MS"
976,Flora,Angiospermas,Lythraceae,Diplusodon panniculatus,Criticamente em Perigo (CR),CR,Cerrado,Agropecuária,Sim,Não,2,Sim,GO
977,Flora,Angiospermas,Lythraceae,Diplusodon retroimbricatus,Criticamente em Perigo (CR),CR,Cerrado,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,GO
978,Flora,Angiospermas,Lythraceae,Diplusodon villosissimus,Vulnerável (VU),VU,Cerrado,Agropecuária,Sim,Sim,3,Sim,"MG,SP"
979,Fauna,Invertebrados Terrestres,Saturniidae,Dirphia monticola,Vulnerável (VU),VU,Mata Atlântica,Queimadas,Sim,Sim,3,Sim,"MG,RJ"
980,Flora,Angiospermas,Rhamnaceae,Discaria americana,Vulnerável (VU),VU,"Mata Atlântica,Pampa",Vazio,Sim,Não,2,Não,"PR,RS,SC"
981,Flora,Angiospermas,Cactaceae,Discocactus bahiensis,Vulnerável (VU),VU,Caatinga,"Extração Direta,Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Informação não disponível,"BA,CE,PE,PI"
982,Flora,Angiospermas,Cactaceae,Discocactus catingicola,Vulnerável (VU),VU,Cerrado,"Distribuição Restrita,Baixa Densidade, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,3,Informação não disponível,"BA,GO,MG,PI,TO"
983,Flora,Angiospermas,Cactaceae,Discocactus horstii,Criticamente em Perigo (CR),CR,Cerrado,"Distribuição Restrita,Extração Direta, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Sim,3,Sim,MG
984,Flora,Angiospermas,Cactaceae,Discocactus pseudoinsignis,Criticamente em Perigo (CR),CR,Cerrado,"Barragens,Plantação de Madereiras",Sim,Sim,3,Sim,MG
985,Flora,Angiospermas,Cactaceae,Discocactus zehntneri,Vulnerável (VU),VU,Caatinga,"Barragens,Extração Direta",Sim,Não,3,Sim,BA
986,Fauna,Aves,Trochilidae,Discosura langsdorffi langsdorffi,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Extração Florestal",Sim,Sim,4,Sim,"BA,ES,,RJ"
987,Flora,Angiospermas,Asteraceae,Disynaphia ericoides,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,2,Não,"PR,RS,SP,"
988,Flora,Angiospermas,Asteraceae,Disynaphia praeficta,Em Perigo (EN),EN,Cerrado,"Mineração,Extração de Madeira,Extração de Não Madereiras",Sim,Sim,2,Informação não disponível,MG
989,Flora,Angiospermas,Asteraceae,Disynaphia variolata,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Espécies Invasoras, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Informação não disponível,PR
990,Flora,Angiospermas,Apocynaceae,Ditassa arianeae,Em Perigo (EN),EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,2,Sim,"BA,ES,RJ"
991,Flora,Angiospermas,Apocynaceae,Ditassa auriflora,Criticamente em Perigo (CR),CR,Cerrado,Vazio,Não,Sim,2,Informação não disponível,MG
992,Flora,Angiospermas,Apocynaceae,Ditassa cipoensis,Em Perigo (EN),EN,Cerrado,"Turismo/Recreação,Assentamento Humano: cidades",Sim,Sim,3,Sim,MG
993,Flora,Angiospermas,Apocynaceae,Ditassa cordeiroana,Em Perigo (EN),EN,"Caatinga,Cerrado","Assentamento Humano: cidades,Turismo/Recreação",Sim,Sim,2,Sim,MG
994,Flora,Angiospermas,Apocynaceae,Ditassa itambensis,Em Perigo (EN),EN,Cerrado,"Turismo/Recreação,Assentamento Humano: cidades",Sim,Não,2,Sim,MG
995,Flora,Angiospermas,Apocynaceae,Ditassa laevis,Em Perigo (EN),EN,"Cerrado,Mata Atlântica",Mineração,Sim,Não,2,Informação não disponível,MG
996,Flora,Angiospermas,Apocynaceae,Ditassa leonii,Vulnerável (VU),VU,Mata Atlântica,Vazio,Sim,Não,2,Sim,"ES,MG"
997,Flora,Angiospermas,Apocynaceae,Ditassa longisepala,Em Perigo (EN),EN,"Cerrado,Mata Atlântica",Mineração,Sim,Não,2,Informação não disponível,MG
998,Flora,Angiospermas,Apocynaceae,Ditassa maricaensis,Em Perigo (EN),EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,2,Informação não disponível,RJ
999,Flora,Angiospermas,Apocynaceae,Ditassa oberdanii,Em Perigo (EN),EN,Mata Atlântica,Agropecuária,Sim,Não,2,Informação não disponível,ES
1000,Fauna,Répteis,Dipsadidae,Ditaxodon taeniatus,Vulnerável (VU),VU,"Cerrado,Mata Atlântica","Agropecuária,Queimadas",Sim,Sim,4,Sim,"MS,PR,RS,SP"
1001,Flora,Angiospermas,Dilleniaceae,Doliocarpus lancifolius,Em Perigo (EN),EN,Mata Atlântica,"Mudança na dinâmica das espécies nativas, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,ES
1002,Flora,Angiospermas,Moraceae,Dorstenia conceptionis,Em Perigo (EN),EN,Mata Atlântica,"Extração de Madeira,Poluição",Sim,Não,2,Sim,"ES,MG"
1003,Flora,Angiospermas,Moraceae,Dorstenia hildegardis,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,1,Sim,ES
1004,Flora,Pteridófitas,Pteridaceae,Doryopteris itatiaiensis,Em Perigo (EN),EN,Mata Atlântica,Desastres Naturais,Sim,Não,2,Sim,"MG,SP,RJ"
1005,Flora,Pteridófitas,Pteridaceae,Doryopteris paradoxa,Vulnerável (VU),VU,Mata Atlântica,"Desastres Naturais,Mineração,Queimadas",Sim,Não,2,Sim,"MG,RJ,SP,PR"
1006,Flora,Pteridófitas,Pteridaceae,Doryopteris quinquelobata,Criticamente em Perigo (CR),CR,Mata Atlântica,"Poluição, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,RJ
1007,Flora,Pteridófitas,Pteridaceae,Doryopteris rediviva,Vulnerável (VU),VU,Mata Atlântica,"Mineração,Queimadas,Desastres Naturais,Agropecuária",Sim,Não,2,Informação não disponível,"BA,ES,PR,RJ,SC,SP"
1008,Flora,Pteridófitas,Pteridaceae,Doryopteris rosenstockii,Em Perigo (EN),EN,Mata Atlântica,"Queimadas,Assentamento Humano: cidades,Desastres Naturais",Sim,Não,2,Sim,RJ
1009,Flora,Pteridófitas,Pteridaceae,Doryopteris rufa,Em Perigo (EN),EN,Mata Atlântica,Queimadas,Sim,Sim,2,Sim,"MG,RJ"
1010,Flora,Pteridófitas,Pteridaceae,Doryopteris subsimplex,Em Perigo (EN),EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Queimadas,Assentamento Humano: cidades",Sim,Sim,2,Informação não disponível,RJ
1011,Flora,Pteridófitas,Pteridaceae,Doryopteris tijucana,Em Perigo (EN),EN,Mata Atlântica,Poluição,Sim,Sim,2,Sim,RJ
1012,Flora,Pteridófitas,Pteridaceae,Doryopteris trilobata,Em Perigo (EN),EN,Cerrado,Mineração,Sim,Não,2,Sim,BA
1013,Fauna,Invertebrados Terrestres,Nymphalidae,Doxocopa zalmunna,Criticamente em Perigo (CR)/Possivelmente Extinto (PEX),CR/PEX,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Não,Sim,1,Sim,SP
1014,Flora,Briófitas,Lejeuneaceae,Drepanolejeunea aculeata,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"RJ,SP"
1015,Fauna,Invertebrados Terrestres,Hesperiidae,Drephalys miersi,Em Perigo (EN),EN,Mata Atlântica,Poluição,Não,Sim,1,Sim,"PR,SC"
1016,Fauna,Invertebrados Terrestres,Hesperiidae,Drephalys mourei,Criticamente em Perigo (CR),CR,Mata Atlântica,"Assentamento Humano: cidades,Poluição",Sim,Sim,2,Sim,"RJ,SC"
1017,Flora,Angiospermas,Droseraceae,Drosera graomogolensis,Em Perigo (EN),EN,Caatinga,"Distribuição Restrita, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Sim,2,Sim,MG
1018,Flora,Angiospermas,Orchidaceae,Dryadella auriculigera,Criticamente em Perigo (CR),CR,Mata Atlântica,Vazio,Não,Não,2,Sim,SP
1019,Flora,Angiospermas,Orchidaceae,Dryadella lilliputiana,Vulnerável (VU),VU,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Extração de Madeira",Sim,Não,2,Sim,"RJ,SP,PR,SC,RS"
1020,Flora,Angiospermas,Orchidaceae,Dryadella susanae,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,2,Sim,ES
1021,Fauna,Invertebrados Terrestres,Drymusidae,Drymusa spelunca,Criticamente em Perigo (CR),CR,Amazônia,Mineração,Sim,Não,1,Sim,PA
1022,Fauna,Aves,Picidae,Dryocopus galeatus,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Sim,Não,3,Não,"ES,MG,MS,PR,RJ,RS,SC,SP"
1023,Flora,Angiospermas,Annonaceae,Duguetia magnolioidea,Em Perigo (EN),EN,Mata Atlântica,"Queimadas,Agropecuária,Distribuição Restrita, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Informação não disponível,BA
1024,Flora,Angiospermas,Annonaceae,Duguetia restingae,Criticamente em Perigo (CR),CR,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária",Sim,Não,2,Sim,BA
1025,Flora,Angiospermas,Annonaceae,Duguetia reticulata,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,1,Sim,BA
1026,Flora,Angiospermas,Annonaceae,Duguetia scottmorii,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,BA
1027,Flora,Angiospermas,Annonaceae,Duguetia sooretamae,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,ES
1028,Flora,Angiospermas,Orchidaceae,Dungsia harpophylla,Vulnerável (VU),VU,Mata Atlântica,Vazio,Sim,Não,2,Sim,"ES,MG"
1029,Flora,Angiospermas,Orchidaceae,Dungsia kautskyi,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,2,Sim,ES
1030,Flora,Angiospermas,Bromeliaceae,Dyckia agudensis,Criticamente em Perigo (CR),CR,"Mata Atlântica,Pampa","Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,RS
1031,Flora,Angiospermas,Bromeliaceae,Dyckia cabrerae,Em Perigo (EN),EN,Mata Atlântica,Extração de Não Madereiras,Sim,Não,2,Sim,"PR,SC"
1032,Flora,Angiospermas,Bromeliaceae,Dyckia delicata,Criticamente em Perigo (CR),CR,Pampa,Vazio,Não,Não,1,Sim,RS
1033,Flora,Angiospermas,Bromeliaceae,Dyckia distachya,Criticamente em Perigo (CR),CR,Mata Atlântica,Barragens,Não,Não,1,Não,"SC,RS"
1034,Flora,Angiospermas,Bromeliaceae,Dyckia domfelicianensis,Criticamente em Perigo (CR),CR,Pampa,Vazio,Sim,Não,2,Informação não disponível,RS
1035,Flora,Angiospermas,Bromeliaceae,Dyckia fosteriana,Em Perigo (EN),EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,PR
1036,Flora,Angiospermas,Bromeliaceae,Dyckia hatschbachii,Criticamente em Perigo (CR),CR,Mata Atlântica,"Extração de Não Madereiras,Extração Direta",Sim,Não,2,Sim,PR
1037,Flora,Angiospermas,Bromeliaceae,Dyckia ibicuiensis,Criticamente em Perigo (CR),CR,Pampa,Vazio,Sim,Não,2,Sim,RS
1038,Flora,Angiospermas,Bromeliaceae,Dyckia ibiramensis,Em Perigo (EN),EN,Mata Atlântica,Barragens,Não,Não,1,Sim,SC
1039,Flora,Angiospermas,Bromeliaceae,Dyckia maritima,Em Perigo (EN),EN,Mata Atlântica,"Barragens, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Sim,2,Sim,RS
1040,Flora,Angiospermas,Bromeliaceae,Dyckia monticola,Criticamente em Perigo (CR),CR,Mata Atlântica,Mineração,Sim,Não,2,Sim,SC
1041,Flora,Angiospermas,Bromeliaceae,Dyckia pseudococcinea,Criticamente em Perigo (CR),CR,Mata Atlântica,Desenvolvimento e Infraestrutura,Sim,Sim,2,Sim,RJ
1042,Flora,Angiospermas,Bromeliaceae,Dyckia rariflora,Em Perigo (EN),EN,Cerrado,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,3,Sim,MG
1043,Flora,Angiospermas,Bromeliaceae,Dyckia reitzii,Em Perigo (EN),EN,Mata Atlântica,Vazio,Sim,Não,2,Informação não disponível,"PR,SC"
1044,Flora,Angiospermas,Bromeliaceae,Dyckia remotiflora,Em Perigo (EN),EN,"Mata Atlântica,Pampa","Extração Direta,Turismo/Recreação,Agropecuária",Sim,Sim,2,Não,"PR,RS,SC"
1045,Flora,Angiospermas,Bromeliaceae,Dyckia ursina,Criticamente em Perigo (CR),CR,Cerrado,Agropecuária,Sim,Sim,3,Sim,MG
1046,Flora,Angiospermas,Acanthaceae,Dyschoriste lavandulacea,Em Perigo (EN),EN,"Cerrado,Mata Atlântica",Vazio,Sim,Não,2,Sim,"MS,SC"
1047,Flora,Angiospermas,Acanthaceae,Dyschoriste smithii,Criticamente em Perigo (CR),CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,SC
1048,Fauna,Aves,Thamnophilidae,Dysithamnus plumbeus,Em Perigo (EN),EN,Mata Atlântica,Extração Florestal,Sim,Sim,3,Sim,"BA,ES,MG,RJ"
1049,Fauna,Répteis,Dipsadidae,Echinanthera cephalomaculata,Vulnerável (VU),VU,Mata Atlântica,Agropecuária,Sim,Sim,2,Sim,AL
1050,Flora,Angiospermas,Asteraceae,Echinocoryne echinocephala,Em Perigo (EN),EN,Cerrado,"Agropecuária,Queimadas",Sim,Não,2,Sim,GO
1051,Flora,Angiospermas,Cactaceae,Echinopsis calochlora,Criticamente em Perigo (CR),CR,"Cerrado,Pantanal","Mineração, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Sim,3,Sim,MS
1052,Flora,Angiospermas,Cactaceae,Echinopsis oxygona,Em Perigo (EN),EN,Pampa,"Agropecuária,Espécies Invasoras",Não,Não,2,Não,RS
1053,Flora,Angiospermas,Bromeliaceae,Eduandrea selloana,Em Perigo (EN),EN,Cerrado,Mineração,Sim,Sim,3,Sim,MG
1054,Fauna,Peixes Continentais,Sternopygidae,Eigenmannia vicentespelaea,Vulnerável (VU),VU,Cerrado,"Agropecuária,Queimadas",Sim,Sim,2,Sim,GO
1055,Flora,Angiospermas,Amaryllidaceae,Eithea blumenavia,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"SP,PR,SC"
1056,Fauna,Peixes Marinhos,Gobiidae,Elacatinus figaro,Vulnerável (VU),VU,Marinho,"Caça/Pesca,Remoção de corais,Turismo/Recreação,Poluição",Sim,Sim,2,Sim,"AL,BA,CE,ES,MA,PA,PB,PE,PI,PR,RJ,RN,SC,SE,SP"
1057,Fauna,Aves,Tyrannidae,Elaenia ridleyana,Vulnerável (VU),VU,Ilha oceânica,"Assentamento Humano: cidades,Espécies Exóticas,Turismo/Recreação",Sim,Sim,2,Sim,PE
1058,Flora,Pteridófitas,Dryopteridaceae,Elaphoglossum acrocarpum,Vulnerável (VU),VU,"Cerrado,Mata Atlântica",Agropecuária,Sim,Sim,2,Sim,"ES,RJ,MG"
1059,Flora,Pteridófitas,Dryopteridaceae,Elaphoglossum amplissimum,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Desastres Naturais,Desenvolvimento e Infraestrutura",Sim,Não,2,Sim,"SP,RJ"
1060,Flora,Pteridófitas,Dryopteridaceae,Elaphoglossum beckeri,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,ES
1061,Fauna,Invertebrados Terrestres,Libellulidae,Elasmothemis schubarti,Em Perigo (EN),EN,"Cerrado,Mata Atlântica","Agropecuária,Assentamento Humano: cidades",Não,Não,0,Sim,"RJ,SP"
1062,Fauna,Aves,Rhinocryptidae,Eleoscytalopus psychopompus,Em Perigo (EN),EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Transporte Diversos",Sim,Sim,2,Sim,BA
1063,Flora,Angiospermas,Bromeliaceae,Encholirium biflorum,Criticamente em Perigo (CR),CR,Cerrado,"Mineração,Distúrbio Humano,Agropecuária",Sim,Sim,3,Sim,MG
1064,Flora,Angiospermas,Bromeliaceae,Encholirium disjunctum,Criticamente em Perigo (CR),CR,Cerrado,Mineração,Sim,Não,2,Sim,"BA,GO"
1065,Flora,Angiospermas,Bromeliaceae,Encholirium gracile,Em Perigo (EN),EN,Mata Atlântica,"Mineração,Agropecuária",Sim,Não,2,Sim,"ES,MG"
1066,Flora,Angiospermas,Bromeliaceae,Encholirium heloisae,Em Perigo (EN),EN,Cerrado,"Agropecuária,Mineração,Mudança na dinâmica das espécies nativas,Desenvolvimento e Infraestrutura,Queimadas",Sim,Sim,3,Sim,MG
1067,Flora,Angiospermas,Bromeliaceae,Encholirium horridum,Em Perigo (EN),EN,Mata Atlântica,"Mineração,Mudança na dinâmica das espécies nativas",Sim,Não,2,Sim,"BA,ES,MG,RJ"
1068,Flora,Angiospermas,Bromeliaceae,Encholirium irwinii,Criticamente em Perigo (CR),CR,Cerrado,Mineração,Sim,Sim,2,Sim,MG
1069,Flora,Angiospermas,Bromeliaceae,Encholirium longiflorum,Criticamente em Perigo (CR),CR,"Caatinga,Cerrado","Mineração,Mudança na dinâmica das espécies nativas",Sim,Não,2,Sim,"BA,MG"
1070,Flora,Angiospermas,Bromeliaceae,Encholirium luxor,Em Perigo (EN),EN,Cerrado,Mineração,Sim,Sim,3,Sim,"TO,GO,,DF,MG"
1071,Flora,Angiospermas,Bromeliaceae,Encholirium pedicellatum,Criticamente em Perigo (CR),CR,Cerrado,Baixo Recrutamento/Reprodução/Regeneração,Sim,Sim,2,Sim,MG
1072,Flora,Angiospermas,Bromeliaceae,Encholirium scrutor,Em Perigo (EN),EN,Cerrado,"Baixo Recrutamento/Reprodução/Regeneração,Agropecuária",Sim,Sim,2,Sim,MG
1073,Flora,Angiospermas,Bromeliaceae,Encholirium vogelii,Criticamente em Perigo (CR),CR,Cerrado,Desenvolvimento e Infraestrutura,Sim,Sim,3,Sim,MG
1074,Flora,Angiospermas,Orchidaceae,Encyclia bragancae,Em Perigo (EN),EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Queimadas",Sim,Não,2,Sim,"ES,MG"
1075,Fauna,Peixes Marinhos,Tripterygiidae,Enneanectes smithi,Vulnerável (VU),VU,Marinho,"Mudança na dinâmica das espécies nativas,Poluição",Sim,Não,2,Não,PE
1076,Fauna,Répteis,Leiosauridae,Enyalius erythroceneus,Criticamente em Perigo (CR),CR,Caatinga,"Agropecuária,Turismo/Recreação,Queimadas",Sim,Sim,3,Sim,BA
1077,Flora,Gimnospermas,Ephedraceae,Ephedra tweediana,Vulnerável (VU),VU,Pampa,"Perda de Habitat/Degradação (Induzida por Humanos),Assentamento Humano: cidades",Sim,Não,2,Informação não disponível,RS
1078,Flora,Angiospermas,Orchidaceae,Epidendrum addae,Vulnerável (VU),VU,Mata Atlântica,Extração Direta,Sim,Não,2,Sim,"RJ,SP"
1079,Flora,Angiospermas,Orchidaceae,Epidendrum ecostatum,Vulnerável (VU),VU,Mata Atlântica,Vazio,Sim,Sim,3,Sim,"SP,RJ,PR,SC"
1080,Flora,Angiospermas,Orchidaceae,Epidendrum henschenii,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"MG,RJ,SP,PA,SC"
1081,Flora,Angiospermas,Orchidaceae,Epidendrum robustum,Vulnerável (VU),VU,Mata Atlântica,Queimadas,Sim,Não,2,Sim,"ES,RJ"
1082,Flora,Angiospermas,Orchidaceae,Epidendrum zappii,Em Perigo (EN),EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"ES,MG"
1083,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus itajara,Criticamente em Perigo (CR),CR,Marinho,"Agropecuária,Aquicultura,Assentamento Humano: cidades,Caça/Pesca",Sim,Sim,2,Não,"AL,AP,BA,CE,ES,MA,PA,PB,PE,PI,RJ,RN,SE,SP"
1084,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus marginatus,Vulnerável (VU),VU,Marinho,Caça/Pesca,Sim,Sim,3,Não,"ES,RJ,SP,PR,SC,RS"
1085,Fauna,Peixes Marinhos,Epinephelidae,Epinephelus morio,Vulnerável (VU),VU,Marinho,Caça/Pesca,Sim,Sim,3,Não,"AL,AP,BA,CE,ES,MA,,PA,PB,PE,PI,PR,RJ,RN,SC,SE,SP"
1086,Fauna,Invertebrados Terrestres,Peripatidae,Epiperipatus adenocryptus,Criticamente em Perigo (CR),CR,Mata Atlântica,"Agropecuária,Turismo/Recreação",Não,Não,0,Sim,MG
1087,Fauna,Invertebrados Terrestres,Peripatidae,Epiperipatus diadenoproctus,Vulnerável (VU),VU,Mata Atlântica,"Agropecuária,Queimadas",Não,Não,0,Sim,MG
1088,Fauna,Invertebrados Terrestres,Peripatidae,Epiperipatus ohausi,Em Perigo (EN),EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,3,Sim,RJ
1089,Fauna,Invertebrados Terrestres,Peripatidae,Epiperipatus paurognostus,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária,Não,Não,0,Sim,MG
1090,Fauna,Invertebrados Terrestres,Nymphalidae,Episcada vitrea,Em Perigo (EN),EN,Mata Atlântica,Agropecuária,Sim,Sim,2,Sim,RJ
1091,Fauna,Mamíferos,Vespertilionidae,Eptesicus taddeii,Vulnerável (VU),VU,"Cerrado,Mata Atlântica",Agropecuária,Sim,Não,2,Sim,"PR,RS,SC,SP"
1092,Flora,Angiospermas,Asteraceae,Eremanthus argenteus,Em Perigo (EN),EN,Cerrado,Queimadas,Sim,Não,2,Sim,GO
1093,Flora,Angiospermas,Asteraceae,Eremanthus leucodendron,Em Perigo (EN),EN,Caatinga,"Perda de Habitat/Degradação (Induzida por Humanos),Queimadas,Extração de Madeira",Sim,Não,2,Sim,BA
1094,Flora,Angiospermas,Asteraceae,Eremanthus polycephalus,Vulnerável (VU),VU,Cerrado,"Agropecuária,Mineração,Queimadas",Sim,Sim,2,Sim,MG
1095,Fauna,Invertebrados Terrestres,Nymphalidae,Eresia erysice erysice,Criticamente em Perigo (CR),CR,Mata Atlântica,Agropecuária,Não,Não,0,Sim,BA
1096,Fauna,Répteis,Cheloniidae,Eretmochelys imbricata,Criticamente em Perigo (CR),CR,Marinho,"Assentamento Humano: cidades,Caça/Pesca,Mineração,Transporte Diversos,Turismo/Recreação,Poluição",Sim,Sim,4,Não,"AL,BA,ES,PB,PE,RN,SC,SE"
1097,Flora,Angiospermas,Melastomataceae,Eriocnema acaulis,Em Perigo (EN),EN,"Cerrado,Mata Atlântica","Mineração, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,MG
1098,Flora,Angiospermas,Melastomataceae,Eriocnema fulva,Vulnerável (VU),VU,"Cerrado,Mata Atlântica","Queimadas,Mineração",Sim,Não,2,Sim,MG
1099,Flora,Angiospermas,Lamiaceae,Eriope anamariae,Em Perigo (EN),EN,Caatinga,Vazio,Sim,Não,2,Sim,BA
1100,Flora,Angiospermas,Lamiaceae,Eriope blanchetii,Vulnerável (VU),VU,Mata Atlântica,Vazio,Sim,Não,2,Sim,BA
1101,Flora,Angiospermas,Lamiaceae,Eriope crassipes subsp. cristalinae,Criticamente em Perigo (CR),CR,Cerrado,Vazio,Sim,Não,2,Sim,GO
1102,Flora,Angiospermas,Lamiaceae,Eriope luetzelburgii,Vulnerável (VU),VU,Caatinga,Vazio,Sim,Não,2,Sim,BA
1103,Flora,Angiospermas,Lamiaceae,Eriope machrisae,Em Perigo (EN),EN,Cerrado,Vazio,Sim,Sim,3,Sim,GO
1104,Flora,Angiospermas,Lamiaceae,Eriope obovata var. gracilis,Em Perigo (EN),EN,Caatinga,Vazio,Sim,Não,2,Sim,BA
1105,Flora,Angiospermas,Vochysiaceae,Erisma arietinum,Em Perigo (EN),EN,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,ES
1106,Flora,Angiospermas,Rubiaceae,Erithalis insularis,Criticamente em Perigo (CR),CR,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Espécies Invasoras",Sim,Não,2,Sim,PE
1107,Flora,Angiospermas,Apiaceae,Eryngium corallinum,Criticamente em Perigo (CR),CR,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Extração Direta,Desenvolvimento e Infraestrutura,Agropecuária",Sim,Não,2,Sim,"PR,SC"
