,Fauna/Flora,Grupo,Família,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
946,Flora,Angiospermas,Asteraceae,EN,Pantanal,Agropecuária,Sim,Não,2,Não,MT
947,Flora,Angiospermas,Asteraceae,EN,Caatinga,"Queimadas,Agropecuária",Sim,Não,2,Informação não disponível,BA
947,Flora,Angiospermas,Asteraceae,EN,Cerrado,"Queimadas,Agropecuária",Sim,Não,2,Informação não disponível,BA
948,Flora,Angiospermas,Asteraceae,VU,Cerrado,Agropecuária,Sim,Sim,3,Sim,GO
949,Flora,Angiospermas,Asteraceae,EN,Cerrado,Agropecuária,Sim,Não,2,Não,MS
950,Flora,Angiospermas,Fabaceae,CR,Cerrado,"Distribuição Restrita,Desenvolvimento e Infraestrutura",Sim,Sim,2,Sim,MG
950,Flora,Angiospermas,Fabaceae,CR,Mata Atlântica,"Distribuição Restrita,Desenvolvimento e Infraestrutura",Sim,Sim,2,Sim,MG
951,Fauna,Invertebrados Terrestres,Formicidae,EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Sim,Não,1,Sim,"BA,ES,MG"
952,Fauna,Aves,Diomedeidae,CR,Marinho,"Espécies Exóticas,Caça/Pesca",Sim,Sim,3,Não,"RS,SC,SP"
953,Fauna,Aves,Diomedeidae,VU,Marinho,"Caça/Pesca,Mudança na dinâmica das espécies nativas,Poluição",Sim,Sim,3,Não,"PR,RS,SC"
954,Fauna,Aves,Diomedeidae,CR,Marinho,"Espécies Exóticas,Caça/Pesca,Mudança na dinâmica das espécies nativas",Sim,Sim,3,Não,"RJ,RS,SC,SP"
955,Fauna,Aves,Diomedeidae,EN,Marinho,"Desastres Naturais,Mudança na dinâmica das espécies nativas",Sim,Sim,3,Não,"RS,SC"
956,Fauna,Invertebrados Aquáticos,Onuphidae,VU,Marinho,"Assentamento Humano: cidades,Caça/Pesca,Mineração,Transporte Diversos,Poluição",Sim,Não,2,Não,"AL,BA,ES,PB,PE,PR,RJ,RS,SC,SE,SP"
957,Fauna,Invertebrados Terrestres,Chelodesmidae,VU,Amazônia,"Agropecuária,Outras Atividades Econômicas: energia",Não,Não,0,Sim,MT
957,Fauna,Invertebrados Terrestres,Chelodesmidae,VU,Cerrado,"Agropecuária,Outras Atividades Econômicas: energia",Não,Não,0,Sim,MT
957,Fauna,Invertebrados Terrestres,Chelodesmidae,VU,Pantanal,"Agropecuária,Outras Atividades Econômicas: energia",Não,Não,0,Sim,MT
958,Flora,Angiospermas,Dioscoreaceae,VU,Cerrado,"Espécies Invasoras,Agropecuária",Sim,Não,2,Informação não disponível,"DF,MG"
959,Flora,Angiospermas,Dioscoreaceae,VU,Mata Atlântica,"Agropecuária,Turismo/Recreação",Sim,Não,2,Informação não disponível,"ES,MG,SP"
960,Flora,Angiospermas,Dioscoreaceae,CR,Mata Atlântica,"Turismo/Recreação,Agropecuária",Sim,Não,2,Informação não disponível,SP
961,Flora,Angiospermas,Dioscoreaceae,EN,Mata Atlântica,"Mineração,Queimadas,Turismo/Recreação,Espécies Invasoras,Assentamento Humano: cidades",Sim,Não,2,Sim,RJ
962,Flora,Angiospermas,Dioscoreaceae,EN,Mata Atlântica,"Turismo/Recreação,Espécies Invasoras",Sim,Não,2,Informação não disponível,"PR,SP"
963,Flora,Angiospermas,Dioscoreaceae,EN,Mata Atlântica,"Agropecuária,Extração de Madeira,Desenvolvimento e Infraestrutura",Sim,Não,2,Sim,"MG,RJ,SP"
964,Flora,Pteridófitas,Lycopodiaceae,EN,Amazônia,Vazio,Sim,Não,2,Sim,"MG,RJ,SP"
964,Flora,Pteridófitas,Lycopodiaceae,EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,"MG,RJ,SP"
965,Fauna,Invertebrados Aquáticos,Hyriidae,EN,Mata Atlântica,"Espécies Exóticas,Barragens,Abastecimento/Drenagem,Poluição",Sim,Não,2,Sim,RS
965,Fauna,Invertebrados Aquáticos,Hyriidae,EN,Pampa,"Espécies Exóticas,Barragens,Abastecimento/Drenagem,Poluição",Sim,Não,2,Sim,RS
966,Flora,Angiospermas,Malpighiaceae,EN,Caatinga,Agropecuária,Sim,Não,2,Sim,"BA,PI"
967,Flora,Angiospermas,Lythraceae,EN,Cerrado,"Agropecuária,Queimadas, Perda de Habitat/Degradação (Induzida por Humanos),Mineração",Sim,Sim,2,Sim,MG
968,Flora,Angiospermas,Lythraceae,CR,Caatinga,Queimadas,Sim,Não,2,Sim,BA
968,Flora,Angiospermas,Lythraceae,CR,Cerrado,Queimadas,Sim,Não,2,Sim,BA
969,Flora,Angiospermas,Lythraceae,CR,Cerrado,Agropecuária,Sim,Sim,2,Sim,GO
970,Flora,Angiospermas,Lythraceae,CR,Cerrado,"Assentamento Humano: cidades,Espécies Invasoras,Queimadas, Perda de Habitat/Degradação (Induzida por Humanos)",Não,Sim,2,Informação não disponível,MG
971,Flora,Angiospermas,Lythraceae,CR,Cerrado,Agropecuária,Não,Não,1,Informação não disponível,TO
972,Flora,Angiospermas,Lythraceae,VU,Cerrado,Agropecuária,Sim,Sim,2,Informação não disponível,GO
973,Flora,Angiospermas,Lythraceae,EN,Cerrado,"Perda de Habitat/Degradação (Induzida por Humanos),Espécies Invasoras,Queimadas,Assentamento Humano: cidades",Sim,Sim,2,Sim,MG
974,Flora,Angiospermas,Lythraceae,VU,Cerrado,Queimadas,Sim,Sim,3,Sim,MG
975,Flora,Angiospermas,Lythraceae,EN,Cerrado,"Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Informação não disponível,"GO,MG,MS"
976,Flora,Angiospermas,Lythraceae,CR,Cerrado,Agropecuária,Sim,Não,2,Sim,GO
977,Flora,Angiospermas,Lythraceae,CR,Cerrado,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,GO
978,Flora,Angiospermas,Lythraceae,VU,Cerrado,Agropecuária,Sim,Sim,3,Sim,"MG,SP"
979,Fauna,Invertebrados Terrestres,Saturniidae,VU,Mata Atlântica,Queimadas,Sim,Sim,3,Sim,"MG,RJ"
980,Flora,Angiospermas,Rhamnaceae,VU,Mata Atlântica,Vazio,Sim,Não,2,Não,"PR,RS,SC"
980,Flora,Angiospermas,Rhamnaceae,VU,Pampa,Vazio,Sim,Não,2,Não,"PR,RS,SC"
981,Flora,Angiospermas,Cactaceae,VU,Caatinga,"Extração Direta,Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Informação não disponível,"BA,CE,PE,PI"
982,Flora,Angiospermas,Cactaceae,VU,Cerrado,"Distribuição Restrita,Baixa Densidade, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,3,Informação não disponível,"BA,GO,MG,PI,TO"
983,Flora,Angiospermas,Cactaceae,CR,Cerrado,"Distribuição Restrita,Extração Direta, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Sim,3,Sim,MG
984,Flora,Angiospermas,Cactaceae,CR,Cerrado,"Barragens,Plantação de Madereiras",Sim,Sim,3,Sim,MG
985,Flora,Angiospermas,Cactaceae,VU,Caatinga,"Barragens,Extração Direta",Sim,Não,3,Sim,BA
986,Fauna,Aves,Trochilidae,EN,Mata Atlântica,"Agropecuária,Extração Florestal",Sim,Sim,4,Sim,"BA,ES,,RJ"
987,Flora,Angiospermas,Asteraceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,2,Não,"PR,RS,SP,"
988,Flora,Angiospermas,Asteraceae,EN,Cerrado,"Mineração,Extração de Madeira,Extração de Não Madereiras",Sim,Sim,2,Informação não disponível,MG
989,Flora,Angiospermas,Asteraceae,EN,Mata Atlântica,"Agropecuária,Espécies Invasoras, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Informação não disponível,PR
990,Flora,Angiospermas,Apocynaceae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,2,Sim,"BA,ES,RJ"
991,Flora,Angiospermas,Apocynaceae,CR,Cerrado,Vazio,Não,Sim,2,Informação não disponível,MG
992,Flora,Angiospermas,Apocynaceae,EN,Cerrado,"Turismo/Recreação,Assentamento Humano: cidades",Sim,Sim,3,Sim,MG
993,Flora,Angiospermas,Apocynaceae,EN,Caatinga,"Assentamento Humano: cidades,Turismo/Recreação",Sim,Sim,2,Sim,MG
993,Flora,Angiospermas,Apocynaceae,EN,Cerrado,"Assentamento Humano: cidades,Turismo/Recreação",Sim,Sim,2,Sim,MG
994,Flora,Angiospermas,Apocynaceae,EN,Cerrado,"Turismo/Recreação,Assentamento Humano: cidades",Sim,Não,2,Sim,MG
995,Flora,Angiospermas,Apocynaceae,EN,Cerrado,Mineração,Sim,Não,2,Informação não disponível,MG
995,Flora,Angiospermas,Apocynaceae,EN,Mata Atlântica,Mineração,Sim,Não,2,Informação não disponível,MG
996,Flora,Angiospermas,Apocynaceae,VU,Mata Atlântica,Vazio,Sim,Não,2,Sim,"ES,MG"
997,Flora,Angiospermas,Apocynaceae,EN,Cerrado,Mineração,Sim,Não,2,Informação não disponível,MG
997,Flora,Angiospermas,Apocynaceae,EN,Mata Atlântica,Mineração,Sim,Não,2,Informação não disponível,MG
998,Flora,Angiospermas,Apocynaceae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Sim,2,Informação não disponível,RJ
999,Flora,Angiospermas,Apocynaceae,EN,Mata Atlântica,Agropecuária,Sim,Não,2,Informação não disponível,ES
1000,Fauna,Répteis,Dipsadidae,VU,Cerrado,"Agropecuária,Queimadas",Sim,Sim,4,Sim,"MS,PR,RS,SP"
1000,Fauna,Répteis,Dipsadidae,VU,Mata Atlântica,"Agropecuária,Queimadas",Sim,Sim,4,Sim,"MS,PR,RS,SP"
1001,Flora,Angiospermas,Dilleniaceae,EN,Mata Atlântica,"Mudança na dinâmica das espécies nativas, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,ES
1002,Flora,Angiospermas,Moraceae,EN,Mata Atlântica,"Extração de Madeira,Poluição",Sim,Não,2,Sim,"ES,MG"
1003,Flora,Angiospermas,Moraceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,1,Sim,ES
1004,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Desastres Naturais,Sim,Não,2,Sim,"MG,SP,RJ"
1005,Flora,Pteridófitas,Pteridaceae,VU,Mata Atlântica,"Desastres Naturais,Mineração,Queimadas",Sim,Não,2,Sim,"MG,RJ,SP,PR"
1006,Flora,Pteridófitas,Pteridaceae,CR,Mata Atlântica,"Poluição, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,RJ
1007,Flora,Pteridófitas,Pteridaceae,VU,Mata Atlântica,"Mineração,Queimadas,Desastres Naturais,Agropecuária",Sim,Não,2,Informação não disponível,"BA,ES,PR,RJ,SC,SP"
1008,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,"Queimadas,Assentamento Humano: cidades,Desastres Naturais",Sim,Não,2,Sim,RJ
1009,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Queimadas,Sim,Sim,2,Sim,"MG,RJ"
1010,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Queimadas,Assentamento Humano: cidades",Sim,Sim,2,Informação não disponível,RJ
1011,Flora,Pteridófitas,Pteridaceae,EN,Mata Atlântica,Poluição,Sim,Sim,2,Sim,RJ
1012,Flora,Pteridófitas,Pteridaceae,EN,Cerrado,Mineração,Sim,Não,2,Sim,BA
1013,Fauna,Invertebrados Terrestres,Nymphalidae,CR/PEX,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Não,Sim,1,Sim,SP
1014,Flora,Briófitas,Lejeuneaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"RJ,SP"
1015,Fauna,Invertebrados Terrestres,Hesperiidae,EN,Mata Atlântica,Poluição,Não,Sim,1,Sim,"PR,SC"
1016,Fauna,Invertebrados Terrestres,Hesperiidae,CR,Mata Atlântica,"Assentamento Humano: cidades,Poluição",Sim,Sim,2,Sim,"RJ,SC"
1017,Flora,Angiospermas,Droseraceae,EN,Caatinga,"Distribuição Restrita, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Sim,2,Sim,MG
1018,Flora,Angiospermas,Orchidaceae,CR,Mata Atlântica,Vazio,Não,Não,2,Sim,SP
1019,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Extração de Madeira",Sim,Não,2,Sim,"RJ,SP,PR,SC,RS"
1020,Flora,Angiospermas,Orchidaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,2,Sim,ES
1021,Fauna,Invertebrados Terrestres,Drymusidae,CR,Amazônia,Mineração,Sim,Não,1,Sim,PA
1022,Fauna,Aves,Picidae,EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Sim,Não,3,Não,"ES,MG,MS,PR,RJ,RS,SC,SP"
1023,Flora,Angiospermas,Annonaceae,EN,Mata Atlântica,"Queimadas,Agropecuária,Distribuição Restrita, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Informação não disponível,BA
1024,Flora,Angiospermas,Annonaceae,CR,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária",Sim,Não,2,Sim,BA
1025,Flora,Angiospermas,Annonaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,1,Sim,BA
1026,Flora,Angiospermas,Annonaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,BA
1027,Flora,Angiospermas,Annonaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,ES
1028,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Vazio,Sim,Não,2,Sim,"ES,MG"
1029,Flora,Angiospermas,Orchidaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Não,Não,2,Sim,ES
1030,Flora,Angiospermas,Bromeliaceae,CR,Mata Atlântica,"Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,RS
1030,Flora,Angiospermas,Bromeliaceae,CR,Pampa,"Agropecuária, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,RS
1031,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Extração de Não Madereiras,Sim,Não,2,Sim,"PR,SC"
1032,Flora,Angiospermas,Bromeliaceae,CR,Pampa,Vazio,Não,Não,1,Sim,RS
1033,Flora,Angiospermas,Bromeliaceae,CR,Mata Atlântica,Barragens,Não,Não,1,Não,"SC,RS"
1034,Flora,Angiospermas,Bromeliaceae,CR,Pampa,Vazio,Sim,Não,2,Informação não disponível,RS
1035,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,PR
1036,Flora,Angiospermas,Bromeliaceae,CR,Mata Atlântica,"Extração de Não Madereiras,Extração Direta",Sim,Não,2,Sim,PR
1037,Flora,Angiospermas,Bromeliaceae,CR,Pampa,Vazio,Sim,Não,2,Sim,RS
1038,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Barragens,Não,Não,1,Sim,SC
1039,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,"Barragens, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Sim,2,Sim,RS
1040,Flora,Angiospermas,Bromeliaceae,CR,Mata Atlântica,Mineração,Sim,Não,2,Sim,SC
1041,Flora,Angiospermas,Bromeliaceae,CR,Mata Atlântica,Desenvolvimento e Infraestrutura,Sim,Sim,2,Sim,RJ
1042,Flora,Angiospermas,Bromeliaceae,EN,Cerrado,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Sim,3,Sim,MG
1043,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,Vazio,Sim,Não,2,Informação não disponível,"PR,SC"
1044,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,"Extração Direta,Turismo/Recreação,Agropecuária",Sim,Sim,2,Não,"PR,RS,SC"
1044,Flora,Angiospermas,Bromeliaceae,EN,Pampa,"Extração Direta,Turismo/Recreação,Agropecuária",Sim,Sim,2,Não,"PR,RS,SC"
1045,Flora,Angiospermas,Bromeliaceae,CR,Cerrado,Agropecuária,Sim,Sim,3,Sim,MG
1046,Flora,Angiospermas,Acanthaceae,EN,Cerrado,Vazio,Sim,Não,2,Sim,"MS,SC"
1046,Flora,Angiospermas,Acanthaceae,EN,Mata Atlântica,Vazio,Sim,Não,2,Sim,"MS,SC"
1047,Flora,Angiospermas,Acanthaceae,CR,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,SC
1048,Fauna,Aves,Thamnophilidae,EN,Mata Atlântica,Extração Florestal,Sim,Sim,3,Sim,"BA,ES,MG,RJ"
1049,Fauna,Répteis,Dipsadidae,VU,Mata Atlântica,Agropecuária,Sim,Sim,2,Sim,AL
1050,Flora,Angiospermas,Asteraceae,EN,Cerrado,"Agropecuária,Queimadas",Sim,Não,2,Sim,GO
1051,Flora,Angiospermas,Cactaceae,CR,Cerrado,"Mineração, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Sim,3,Sim,MS
1051,Flora,Angiospermas,Cactaceae,CR,Pantanal,"Mineração, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Sim,3,Sim,MS
1052,Flora,Angiospermas,Cactaceae,EN,Pampa,"Agropecuária,Espécies Invasoras",Não,Não,2,Não,RS
1053,Flora,Angiospermas,Bromeliaceae,EN,Cerrado,Mineração,Sim,Sim,3,Sim,MG
1054,Fauna,Peixes Continentais,Sternopygidae,VU,Cerrado,"Agropecuária,Queimadas",Sim,Sim,2,Sim,GO
1055,Flora,Angiospermas,Amaryllidaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"SP,PR,SC"
1056,Fauna,Peixes Marinhos,Gobiidae,VU,Marinho,"Caça/Pesca,Remoção de corais,Turismo/Recreação,Poluição",Sim,Sim,2,Sim,"AL,BA,CE,ES,MA,PA,PB,PE,PI,PR,RJ,RN,SC,SE,SP"
1057,Fauna,Aves,Tyrannidae,VU,Ilha oceânica,"Assentamento Humano: cidades,Espécies Exóticas,Turismo/Recreação",Sim,Sim,2,Sim,PE
1058,Flora,Pteridófitas,Dryopteridaceae,VU,Cerrado,Agropecuária,Sim,Sim,2,Sim,"ES,RJ,MG"
1058,Flora,Pteridófitas,Dryopteridaceae,VU,Mata Atlântica,Agropecuária,Sim,Sim,2,Sim,"ES,RJ,MG"
1059,Flora,Pteridófitas,Dryopteridaceae,EN,Mata Atlântica,"Agropecuária,Desastres Naturais,Desenvolvimento e Infraestrutura",Sim,Não,2,Sim,"SP,RJ"
1060,Flora,Pteridófitas,Dryopteridaceae,CR,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,ES
1061,Fauna,Invertebrados Terrestres,Libellulidae,EN,Cerrado,"Agropecuária,Assentamento Humano: cidades",Não,Não,0,Sim,"RJ,SP"
1061,Fauna,Invertebrados Terrestres,Libellulidae,EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades",Não,Não,0,Sim,"RJ,SP"
1062,Fauna,Aves,Rhinocryptidae,EN,Mata Atlântica,"Agropecuária,Assentamento Humano: cidades,Transporte Diversos",Sim,Sim,2,Sim,BA
1063,Flora,Angiospermas,Bromeliaceae,CR,Cerrado,"Mineração,Distúrbio Humano,Agropecuária",Sim,Sim,3,Sim,MG
1064,Flora,Angiospermas,Bromeliaceae,CR,Cerrado,Mineração,Sim,Não,2,Sim,"BA,GO"
1065,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,"Mineração,Agropecuária",Sim,Não,2,Sim,"ES,MG"
1066,Flora,Angiospermas,Bromeliaceae,EN,Cerrado,"Agropecuária,Mineração,Mudança na dinâmica das espécies nativas,Desenvolvimento e Infraestrutura,Queimadas",Sim,Sim,3,Sim,MG
1067,Flora,Angiospermas,Bromeliaceae,EN,Mata Atlântica,"Mineração,Mudança na dinâmica das espécies nativas",Sim,Não,2,Sim,"BA,ES,MG,RJ"
1068,Flora,Angiospermas,Bromeliaceae,CR,Cerrado,Mineração,Sim,Sim,2,Sim,MG
1069,Flora,Angiospermas,Bromeliaceae,CR,Caatinga,"Mineração,Mudança na dinâmica das espécies nativas",Sim,Não,2,Sim,"BA,MG"
1069,Flora,Angiospermas,Bromeliaceae,CR,Cerrado,"Mineração,Mudança na dinâmica das espécies nativas",Sim,Não,2,Sim,"BA,MG"
1070,Flora,Angiospermas,Bromeliaceae,EN,Cerrado,Mineração,Sim,Sim,3,Sim,"TO,GO,,DF,MG"
1071,Flora,Angiospermas,Bromeliaceae,CR,Cerrado,Baixo Recrutamento/Reprodução/Regeneração,Sim,Sim,2,Sim,MG
1072,Flora,Angiospermas,Bromeliaceae,EN,Cerrado,"Baixo Recrutamento/Reprodução/Regeneração,Agropecuária",Sim,Sim,2,Sim,MG
1073,Flora,Angiospermas,Bromeliaceae,CR,Cerrado,Desenvolvimento e Infraestrutura,Sim,Sim,3,Sim,MG
1074,Flora,Angiospermas,Orchidaceae,EN,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Queimadas",Sim,Não,2,Sim,"ES,MG"
1075,Fauna,Peixes Marinhos,Tripterygiidae,VU,Marinho,"Mudança na dinâmica das espécies nativas,Poluição",Sim,Não,2,Não,PE
1076,Fauna,Répteis,Leiosauridae,CR,Caatinga,"Agropecuária,Turismo/Recreação,Queimadas",Sim,Sim,3,Sim,BA
1077,Flora,Gimnospermas,Ephedraceae,VU,Pampa,"Perda de Habitat/Degradação (Induzida por Humanos),Assentamento Humano: cidades",Sim,Não,2,Informação não disponível,RS
1078,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Extração Direta,Sim,Não,2,Sim,"RJ,SP"
1079,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Vazio,Sim,Sim,3,Sim,"SP,RJ,PR,SC"
1080,Flora,Angiospermas,Orchidaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"MG,RJ,SP,PA,SC"
1081,Flora,Angiospermas,Orchidaceae,VU,Mata Atlântica,Queimadas,Sim,Não,2,Sim,"ES,RJ"
1082,Flora,Angiospermas,Orchidaceae,EN,Mata Atlântica,Perda de Habitat/Degradação (Induzida por Humanos),Sim,Não,2,Sim,"ES,MG"
1083,Fauna,Peixes Marinhos,Epinephelidae,CR,Marinho,"Agropecuária,Aquicultura,Assentamento Humano: cidades,Caça/Pesca",Sim,Sim,2,Não,"AL,AP,BA,CE,ES,MA,PA,PB,PE,PI,RJ,RN,SE,SP"
1084,Fauna,Peixes Marinhos,Epinephelidae,VU,Marinho,Caça/Pesca,Sim,Sim,3,Não,"ES,RJ,SP,PR,SC,RS"
1085,Fauna,Peixes Marinhos,Epinephelidae,VU,Marinho,Caça/Pesca,Sim,Sim,3,Não,"AL,AP,BA,CE,ES,MA,,PA,PB,PE,PI,PR,RJ,RN,SC,SE,SP"
1086,Fauna,Invertebrados Terrestres,Peripatidae,CR,Mata Atlântica,"Agropecuária,Turismo/Recreação",Não,Não,0,Sim,MG
1087,Fauna,Invertebrados Terrestres,Peripatidae,VU,Mata Atlântica,"Agropecuária,Queimadas",Não,Não,0,Sim,MG
1088,Fauna,Invertebrados Terrestres,Peripatidae,EN,Mata Atlântica,Assentamento Humano: cidades,Sim,Não,3,Sim,RJ
1089,Fauna,Invertebrados Terrestres,Peripatidae,CR,Mata Atlântica,Agropecuária,Não,Não,0,Sim,MG
1090,Fauna,Invertebrados Terrestres,Nymphalidae,EN,Mata Atlântica,Agropecuária,Sim,Sim,2,Sim,RJ
1091,Fauna,Mamíferos,Vespertilionidae,VU,Cerrado,Agropecuária,Sim,Não,2,Sim,"PR,RS,SC,SP"
1091,Fauna,Mamíferos,Vespertilionidae,VU,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,"PR,RS,SC,SP"
1092,Flora,Angiospermas,Asteraceae,EN,Cerrado,Queimadas,Sim,Não,2,Sim,GO
1093,Flora,Angiospermas,Asteraceae,EN,Caatinga,"Perda de Habitat/Degradação (Induzida por Humanos),Queimadas,Extração de Madeira",Sim,Não,2,Sim,BA
1094,Flora,Angiospermas,Asteraceae,VU,Cerrado,"Agropecuária,Mineração,Queimadas",Sim,Sim,2,Sim,MG
1095,Fauna,Invertebrados Terrestres,Nymphalidae,CR,Mata Atlântica,Agropecuária,Não,Não,0,Sim,BA
1096,Fauna,Répteis,Cheloniidae,CR,Marinho,"Assentamento Humano: cidades,Caça/Pesca,Mineração,Transporte Diversos,Turismo/Recreação,Poluição",Sim,Sim,4,Não,"AL,BA,ES,PB,PE,RN,SC,SE"
1097,Flora,Angiospermas,Melastomataceae,EN,Cerrado,"Mineração, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,MG
1097,Flora,Angiospermas,Melastomataceae,EN,Mata Atlântica,"Mineração, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,MG
1098,Flora,Angiospermas,Melastomataceae,VU,Cerrado,"Queimadas,Mineração",Sim,Não,2,Sim,MG
1098,Flora,Angiospermas,Melastomataceae,VU,Mata Atlântica,"Queimadas,Mineração",Sim,Não,2,Sim,MG
1099,Flora,Angiospermas,Lamiaceae,EN,Caatinga,Vazio,Sim,Não,2,Sim,BA
1100,Flora,Angiospermas,Lamiaceae,VU,Mata Atlântica,Vazio,Sim,Não,2,Sim,BA
1101,Flora,Angiospermas,Lamiaceae,CR,Cerrado,Vazio,Sim,Não,2,Sim,GO
1102,Flora,Angiospermas,Lamiaceae,VU,Caatinga,Vazio,Sim,Não,2,Sim,BA
1103,Flora,Angiospermas,Lamiaceae,EN,Cerrado,Vazio,Sim,Sim,3,Sim,GO
1104,Flora,Angiospermas,Lamiaceae,EN,Caatinga,Vazio,Sim,Não,2,Sim,BA
1105,Flora,Angiospermas,Vochysiaceae,EN,Mata Atlântica,Agropecuária,Sim,Não,2,Sim,ES
1106,Flora,Angiospermas,Rubiaceae,CR,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Espécies Invasoras",Sim,Não,2,Sim,PE
1107,Flora,Angiospermas,Apiaceae,CR,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Extração Direta,Desenvolvimento e Infraestrutura,Agropecuária",Sim,Não,2,Sim,"PR,SC"
1108,Flora,Angiospermas,Apiaceae,EN,Pampa,"Espécies Invasoras, Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária,Plantação de Madereiras",Sim,Sim,2,Não,RS
1109,Flora,Angiospermas,Apiaceae,CR,Pampa,"Perda de Habitat/Degradação (Induzida por Humanos),Agropecuária,Espécies Invasoras",Sim,Não,2,Não,RS
1110,Flora,Angiospermas,Apiaceae,EN,Mata Atlântica,"Agropecuária,Queimadas, Perda de Habitat/Degradação (Induzida por Humanos)",Sim,Não,2,Sim,"RS,SC"
1111,Flora,Angiospermas,Apiaceae,VU,Mata Atlântica,"Perda de Habitat/Degradação (Induzida por Humanos),Espécies Invasoras,Extração de Madeira",Sim,Não,2,Sim,"MG,RJ,SP,PR,SC"
1112,Flora,Angiospermas,Apiaceae,EN,Mata Atlântica,"Turismo/Recreação,Espécies Invasoras,Linhas de Energia",Sim,Não,2,Sim,PR
