,Fauna/Flora,Grupo,Família,Sigla Categoria de Ameaça,Bioma,Principais Ameaças,Presença em Áreas Protegidas,Plano de Ação Nacional para Conservação (PAN),Nível de Proteção na Estratégia Nacional,Espécie exclusiva do Brasil,Estados de Ocorrência
2607,Fauna,Aves,Procellariidae,EN,Marinho,"Desastres Naturais,Espécies Exóticas",Sim,Sim,1,Não,"AL,BA,PA,PR,RJ,RS,SC,SE,SP"
2608,Fauna,Aves,Procellariidae,EN,Marinho,"Espécies Exóticas,Transporte Diversos,Queimadas",Sim,Sim,1,Não,"CE,MA,PB,PI,RN"
2609,Flora,Angiospermas,Orchidaceae,EN,Cerrado,"Perda de Habitat/Degradação (Induzida por Humanos),Queimadas",Sim,Não,2,Sim,"DF,GO,SP"
2610,Fauna,Aves,Ramphastidae,VU,Amazônia,Agropecuária,Sim,Sim,3,Sim,"MA,PA"
2611,Fauna,Mamíferos,Mustelidae,VU,Amazônia,"Caça/Pesca,Outras Atividades Econômicas: energia",Sim,Sim,4,Não,"AC,AM,AP,BA,DF,GO,MA,MG,MS,MT,PA,PR,RO,RR,SC,SP,TO"
2611,Fauna,Mamíferos,Mustelidae,VU,Cerrado,"Caça/Pesca,Outras Atividades Econômicas: energia",Sim,Sim,4,Não,"AC,AM,AP,BA,DF,GO,MA,MG,MS,MT,PA,PR,RO,RR,SC,SP,TO"
2611,Fauna,Mamíferos,Mustelidae,VU,Mata Atlântica,"Caça/Pesca,Outras Atividades Econômicas: energia",Sim,Sim,4,Não,"AC,AM,AP,BA,DF,GO,MA,MG,MS,MT,PA,PR,RO,RR,SC,SP,TO"
2611,Fauna,Mamíferos,Mustelidae,VU,Pantanal,"Caça/Pesca,Outras Atividades Econômicas: energia",Sim,Sim,4,Não,"AC,AM,AP,BA,DF,GO,MA,MG,MS,MT,PA,PR,RO,RR,SC,SP,TO"
2612,Fauna,Aves,Procellariidae,CR,Marinho,Espécies Exóticas,Sim,Sim,2,Não,"ES,PE"
2613,Fauna,Aves,Strigidae,VU,Mata Atlântica,Agropecuária,Sim,Sim,3,Sim,"BA,ES,MG,PR,RS,SC"
2614,Fauna,Mamíferos,Felidae,VU,Amazônia,"Agropecuária,Extração Florestal,Mineração,Outras Atividades Econômicas: energia,Transporte Diversos",Sim,Sim,5,Não,"AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO"
